stop_id,stop_skip_rate,stop_count
9022001005161002,0.004268943436499467,1874
9022001005171001,0.003602676273803397,1943
9022001005171002,0.005230125523012552,1912
9022001005181001,0.0036101083032490976,1939
9022001005181002,0.004764425622022234,1889
9022001005191001,0.0025974025974025974,1540
9022001005191002,0.006024096385542169,1494
9022001005191003,0.0,133
9022001005191004,0.010703363914373088,654
9022001005201001,0.008485639686684074,1532
9022001005201002,0.004771642808452625,1467
9022001005211001,0.007184846505551927,1531
9022001005211002,0.009472259810554804,1478
9022001005221001,0.0,382
9022001005221002,0.04087013843111404,1517
9022001005221005,0.006076975016880486,1481
9022001005221006,0.0,392
9022001005231001,0.0,677
9022001005231002,0.04248088360237893,1177
9022001005231003,0.0328125,640
9022001005231004,0.03261734287987271,1257
9022001005241001,0.0,391
9022001005241002,0.0,394
9022001005251001,0.0,382
9022001005251002,0.0,400
9022001005261001,0.0,365
9022001005261002,0.0,366
9022001005271001,0.0,724
9022001005310001,0.0,1832
9022001005310002,0.00341796875,2048
9022001005310003,0.0009910802775024777,2018
9022001005310004,0.0010922992900054614,1831
9022001005320001,0.0,3810
9022001005320002,0.0013085579691180318,3821
9022001006031001,0.0005446623093681918,1836
9022001006031002,0.0,1777
9022001006041001,0.0016402405686167304,1829
9022001006041002,0.0005608524957936063,1783
9022001006051001,0.0016675931072818232,1799
9022001006051002,0.000564652738565782,1771
9022001006061001,0.002785515320334262,1795
9022001006061002,0.0005662514156285391,1766
9022001006071001,0.001430615164520744,1398
9022001006071002,0.003257328990228013,614
9022001006071003,0.0,227
9022001006071004,0.0014814814814814814,1350
9022001006081001,0.0041797283176593526,1914
9022001006081002,0.0,798
9022001006091001,0.015978695073235686,751
9022001006091002,0.011034482758620689,725
9022001006101001,0.009774436090225564,1330
9022001006101003,0.0,36
9022001006121001,0.006745362563237774,1779
9022001006121002,0.0068454078722190535,1753
9022001006131001,0.010026737967914439,1496
9022001006131002,0.0054757015742642025,1461
9022001006141001,0.00876010781671159,1484
9022001006141002,0.007534246575342466,1460
9022001006145001,0.00823045267489712,1458
9022001006145002,0.006254343293954135,1439
9022001006151001,0.00547645125958379,1826
9022001006151002,0.007361268403171008,1766
9022001006161001,0.008046817849305048,1367
9022001006161002,0.010810810810810811,1295
9022001006171001,0.0,649
9022001006171002,0.015166835187057633,1978
9022001006171003,0.0,681
9022001006181001,0.0,631
9022001006181002,0.0,632
9022001006191001,0.0,637
9022001006191002,0.0,631
9022001006201001,0.0,618
9022001006201002,0.0,644
9022001006211001,0.0,1263
9022001006221001,0.0,313
9022001006221002,0.001037344398340249,964
9022001006231001,0.0031496062992125984,635
9022001006231002,0.00473186119873817,634
9022001006241001,0.0031397174254317113,1274
9022001006251001,0.0,255
9022001006251002,0.004162330905306972,961
9022001006251003,0.0,33
9022001006601002,0.0,1293
9022001006601003,0.0,1200
9022001006601004,0.0,1331
9022001006601005,0.0006816632583503749,1467
9022001006601006,0.0,1009
9022001006601007,0.0,750
9022001006651001,0.0,813
9022001006651002,0.0,784
9022001006651003,0.0003633720930232558,2752
9022001006651004,0.0,2711
9022001006661001,0.0,2739
9022001006661002,0.00036443148688046647,2744
9022001006741001,0.0007189072609633358,1391
9022001006741002,0.0,1397
9022001006761001,0.0,1390
9022001006761002,0.0007309941520467836,1368
9022001006781001,0.005171042163882259,2514
9022001006791001,0.004151838671411625,1686
9022001006791004,0.0073439412484700125,817
9022001006851001,0.0,1360
9022001006851002,0.0,1366
9022001006881001,0.0,677
9022001006881002,0.0,751
9022001006881003,0.0,246
9022001006901001,0.021136063408190225,757
9022001006911001,0.02072538860103627,772
9022001006921001,0.0,1587
9022001006941001,0.0,797
9022001006941002,0.0,783
9022001006971001,0.0,1626
9022001007001001,0.0,1383
9022001007001002,0.0007272727272727272,1375
9022001007011001,0.0,1396
9022001007011002,0.0014074595355383533,1421
9022001007021001,0.0014316392269148174,1397
9022001007021003,0.0,1390
9022001007031001,0.0,1393
